sample_id,ERBB2_copy_number,CEP17_copy_number,ERBB2_CEP17_ratio,ERBB2_minus_ploidy,Purity,Ploidy
CPCT02020203T,2,2,1.0,-1.6970999999999998,0.85,3.6971
CPCT02180049T,4,4,1.0,0.5770000000000001,0.61,3.423
WIDE01010074T,25,2,12.5,22.0631,0.51,2.9369
CPCT02460004T,9,1,9.0,6.9487000000000005,0.54,2.0513
CPCT02190024T,16,2,8.0,12.8407,0.49,3.1593
CPCT02290048T,4,4,1.0,0.0971999999999999,0.42,3.9028
CPCT02210028T,3,1,3.0,0.965,0.63,2.035
CPCT02030478T,68,3,22.66666666666667,64.2872,0.39,3.7128
CPCT02040055T,4,4,1.0,-1.2512999999999996,0.25,5.2513
CPCT02020223TII,4,5,0.8,0.5493999999999999,0.48,3.4506
CPCT02110069T,4,2,2.0,-0.0340999999999995,0.37,4.0341
CPCT02010726T,2,2,1.0,-0.0106000000000001,0.62,2.0106
DO52550,3,1,3.0,0.5373999999999999,0.23,2.4626
WIDE01010372T,3,2,1.5,-1.1466000000000005,0.72,4.1466
CPCT02100027T,12,1,12.0,9.6532,0.35,2.3468
CPCT02030218TII,4,5,0.8,0.0411000000000001,0.45,3.9589
CPCT02010691T,3,2,1.5,1.4249,0.43,1.5751
TCGA-A8-A09IT,135,4,33.75,131.1142,0.6,3.8858
CPCT02020345TII,3,3,1.0,-1.1623,0.61,4.1623
CPCT02050285T,2,3,0.6666666666666666,0.0533999999999998,0.41,1.9466
CPCT02340112T,2,2,1.0,-0.2471999999999998,0.55,2.2472
CPCT02110004T,4,2,2.0,0.7090999999999998,0.35,3.2909
WIDE01010185T,3,2,1.5,0.0971000000000002,0.35,2.9029
DO1018,5,1,5.0,1.0233,0.53,3.9767
CPCT02060059T,1,1,1.0,-0.5499,0.5,1.5499
DO217844,4,4,1.0,-0.1224999999999996,0.23,4.1225
CPCT02020692T,6,2,3.0,2.4672,0.97,3.5328
CPCT02010886T,1,2,0.5,-0.6834,0.92,1.6834
DO218573,4,4,1.0,1.0345,0.47,2.9655
CPCT02040325T,4,4,1.0,0.7488000000000001,0.51,3.2512
CPCT02080312T,3,3,1.0,0.7256,0.82,2.2744
DO1002,3,2,1.5,1.0296,0.77,1.9704
WIDE01010231T,2,2,1.0,-1.4150999999999998,0.38,3.4151
TCGA-C8-A12LT,14,2,7.0,10.5732,0.49,3.4268
CPCT02210017T,4,3,1.3333333333333333,0.5712999999999999,0.45,3.4287
CPCT02020341T,1,2,0.5,-1.1002,0.52,2.1002
CPCT02080095T,1,2,0.5,-1.2212999999999998,0.58,2.2213
CPCT02310011T,48,8,6.0,45.6688,0.66,2.3312
CPCT02230016T,2,2,1.0,-0.0600999999999998,0.56,2.0601
CPCT02080184T,4,6,0.6666666666666666,0.6326,0.26,3.3674
CPCT02010427T,2,2,1.0,0.0001999999999999,0.47,1.9998
CPCT02390040T,2,2,1.0,0.0210999999999998,0.61,1.9789
DO218065,4,2,2.0,-0.0300000000000002,0.43,4.03
CPCT02330066T,95,4,23.75,91.1345,0.43,3.8655
CPCT02010915T,1,1,1.0,-0.9458,0.83,1.9458
CPCT02010320T,2,2,1.0,-1.0142000000000002,0.59,3.0142
CPCT02030305T,2,2,1.0,-0.0828000000000002,0.83,2.0828
CPCT02030271T,198,2,99.0,193.6703,0.57,4.3297
CPCT02370003T,2,2,1.0,-0.9207999999999998,0.7,2.9208
CPCT02120047T,2,8,0.25,-1.5560999999999998,0.22,3.5561
CPCT02360022T,2,2,1.0,-0.1198000000000001,0.97,2.1198
CPCT02120099T,2,2,1.0,0.2645,0.37,1.7355
CPCT02010523T,4,2,2.0,0.4293999999999998,0.62,3.5706
TCGA-E2-A1LGT,3,7,0.4285714285714285,-0.2075,0.76,3.2075
CPCT02030428T,2,2,1.0,-0.0865999999999997,0.58,2.0866
CPCT02080076T,2,2,1.0,-0.1756999999999999,0.61,2.1757
CPCT02120008T,4,2,2.0,0.2433000000000001,0.73,3.7567
DO218489,3,3,1.0,-0.1619999999999999,0.43,3.162
CPCT02190049T,1,4,0.25,-2.7943,0.73,3.7943
CPCT02380024T,3,6,0.5,-0.0411999999999999,0.74,3.0412
DO218212,2,3,0.6666666666666666,0.0127999999999999,0.41,1.9872
CPCT02160041T,3,3,1.0,-1.4241,0.3,4.4241
WIDE01010388T,4,3,1.3333333333333333,0.1032000000000001,0.62,3.8968
CPCT02050364T,5,2,2.5,1.7489,0.63,3.2511
CPCT02120047TII,3,7,0.4285714285714285,-0.6642999999999999,0.68,3.6643
DO1013,29,10,2.9,26.1243,0.29,2.8757
CPCT02030233T,25,1,25.0,22.8718,0.58,2.1282
TCGA-A8-A08ST,12,3,4.0,9.8911,0.86,2.1089
CPCT02080006T,2,0,0.0,-0.0045000000000001,0.55,2.0045
TCGA-AO-A0J2T,3,2,1.5,-0.4493999999999998,0.66,3.4494
CPCT02050082T,3,2,1.5,0.8892000000000002,0.93,2.1108
CPCT02020245TII,4,4,1.0,-0.1928,0.54,4.1928
CPCT02100049T,44,2,22.0,40.7224,0.7,3.2776
CPCT02050210T,2,2,1.0,-0.3449,0.7,2.3449
DO52561,4,3,1.3333333333333333,-0.3312999999999997,0.72,4.3313
CPCT02010517T,2,2,1.0,-0.0838999999999998,0.87,2.0839
CPCT02010731T,1,1,1.0,-0.9885,0.49,1.9885
CPCT02010329T,2,2,1.0,-0.7187999999999999,0.32,2.7188
CPCT02050160T,4,5,0.8,-0.8628999999999998,0.77,4.8629
CPCT02010351T,2,2,1.0,-0.9932,0.35,2.9932
